,0,1,2,3,4,5,6,7,8
0,1371999.9999999998,1384499.9999999998,1356999.9999996785,1433906.2499999998,1429248.0,1421412.0370378315,1423090.379008809,1410791.0156249998,1391252.4005487037
1,1521999.9999999998,1413874.9999999998,1415481.481481225,1384343.7499999998,1408200.0,1402916.666667415,1427658.8921283584,1402324.2187499998,1410880.6584364008
2,1409999.9999999998,1423124.9999999998,1371555.5555552163,1426031.2499999998,1387720.0,1379240.7407414683,1400276.967929697,1395712.8906249998,1392087.7914952387
3,1466999.9999999998,1403874.9999999998,1396407.4074070395,1365421.8749999998,1375104.0,1404180.5555562926,1417297.3760933047,1404851.5624999998,1408032.9218108535
4,1383999.9999999998,1436999.9999999998,1376370.37037002,1383734.3749999998,1433872.0,1419458.3333341067,1400317.7842562413,1406496.0937499998,1412969.8216737087
5,1245999.9999999998,1439374.9999999998,1432814.8148145725,1410703.1249999998,1406736.0,1407726.851852602,1414309.037900823,1402503.9062499998,1393253.7722908272
6,1414999.9999999998,1391124.9999999998,1425259.2592590135,1397874.9999999998,1418000.0,1408620.370371111,1392081.6326525866,1404511.7187499998,1393773.662551475
7,1442999.9999999998,1440624.9999999998,1429888.8888886597,1457859.3749999998,1386856.0,1422787.0370378133,1401416.909620707,1405548.8281249998,1404595.3360769416
8,1334999.9999999998,1343999.9999999998,1376037.0370366808,1427453.1249999998,1431632.0,1384069.4444451483,1400431.4868801525,1401308.5937499998,1409663.92318262
9,1315999.9999999998,1403124.9999999998,1382814.8148144728,1421062.4999999998,1397816.0,1370069.4444451777,1420040.8163265174,1389994.1406249998,1396695.4732510555
